CustomerID,CustomerName,Gender,Age,City,JoinDate,LoyaltyLevel
1,Customer_1,Male,38,Jazan,3/25/2022,Bronze
2,Customer_2,Female,21,Khobar,12/21/2023,Gold
3,Customer_3,Male,28,Jeddah,5/23/2022,Silver
4,Customer_4,Female,52,Riyadh,4/14/2025,Silver
5,Customer_5,Female,40,Dammam,12/27/2021,Silver
6,Customer_6,Female,40,Jazan,2/27/2021,Gold
7,Customer_7,Male,54,Makkah,9/10/2025,Platinum
8,Customer_8,Female,29,Khobar,3/19/2021,Bronze
9,Customer_9,Male,32,Jazan,3/25/2022,Bronze
10,Customer_10,Female,18,Abha,6/11/2024,Silver
11,Customer_11,Male,39,Dammam,7/2/2025,Gold
12,Customer_12,Male,19,Dammam,4/16/2024,Silver
13,Customer_13,Male,51,Abha,5/29/2021,Gold
14,Customer_14,Female,55,Jeddah,11/21/2022,Gold
15,Customer_15,Female,26,Dammam,2/8/2025,Platinum
16,Customer_16,Female,59,Abha,12/23/2021,Gold
17,Customer_17,Male,60,Jazan,7/27/2025,Silver
18,Customer_18,Female,37,Madinah,9/18/2021,Silver
19,Customer_19,Male,54,Tabuk,10/9/2025,Bronze
20,Customer_20,Male,56,Abha,7/15/2025,Silver
21,Customer_21,Male,49,Dammam,11/10/2022,Bronze
22,Customer_22,Male,40,Abha,12/10/2021,Bronze
23,Customer_23,Female,46,Riyadh,6/28/2022,Silver
24,Customer_24,Male,22,Abha,6/10/2022,Bronze
25,Customer_25,Male,21,Tabuk,6/17/2023,Platinum
26,Customer_26,Male,44,Khobar,2/15/2023,Gold
27,Customer_27,Female,24,Khobar,6/4/2025,Silver
28,Customer_28,Male,46,Jeddah,6/25/2025,Bronze
29,Customer_29,Female,19,Abha,6/19/2022,Bronze
30,Customer_30,Male,39,Dammam,2/8/2023,Silver
31,Customer_31,Male,53,Jeddah,11/24/2022,Platinum
32,Customer_32,Male,45,Dammam,5/28/2024,Platinum
33,Customer_33,Male,21,Jeddah,11/10/2022,Silver
34,Customer_34,Male,44,Taif,1/18/2025,Gold
35,Customer_35,Female,37,Makkah,7/16/2021,Bronze
36,Customer_36,Female,54,Taif,9/17/2025,Platinum
37,Customer_37,Male,21,Abha,1/8/2021,Platinum
38,Customer_38,Male,36,Jazan,9/11/2023,Silver
39,Customer_39,Male,19,Makkah,12/16/2021,Gold
40,Customer_40,Male,48,Jeddah,9/24/2022,Platinum
41,Customer_41,Female,49,Madinah,7/6/2021,Platinum
42,Customer_42,Male,41,Tabuk,1/27/2023,Silver
43,Customer_43,Female,20,Madinah,6/20/2023,Platinum
44,Customer_44,Female,32,Madinah,3/1/2024,Bronze
45,Customer_45,Male,60,Jeddah,6/25/2021,Gold
46,Customer_46,Female,55,Makkah,2/8/2024,Bronze
47,Customer_47,Female,51,Tabuk,1/2/2024,Platinum
48,Customer_48,Male,48,Madinah,6/11/2021,Platinum
49,Customer_49,Male,50,Jazan,11/25/2023,Silver
50,Customer_50,Male,46,Dammam,12/9/2021,Silver
51,Customer_51,Male,26,Riyadh,5/18/2023,Bronze
52,Customer_52,Female,30,Dammam,9/5/2025,Gold
53,Customer_53,Female,22,Jeddah,3/6/2023,Platinum
54,Customer_54,Female,35,Taif,7/28/2023,Bronze
55,Customer_55,Female,25,Tabuk,11/3/2021,Silver
56,Customer_56,Male,24,Jazan,5/16/2025,Bronze
57,Customer_57,Female,52,Abha,12/3/2025,Platinum
58,Customer_58,Female,42,Khobar,3/17/2024,Platinum
59,Customer_59,Male,29,Madinah,4/6/2023,Silver
60,Customer_60,Female,20,Tabuk,12/6/2025,Gold
61,Customer_61,Male,21,Khobar,7/5/2022,Gold
62,Customer_62,Male,39,Madinah,9/29/2022,Gold
63,Customer_63,Female,24,Makkah,10/3/2021,Gold
64,Customer_64,Female,38,Madinah,2/1/2025,Platinum
65,Customer_65,Male,30,Khobar,3/9/2022,Platinum
66,Customer_66,Female,51,Abha,8/9/2025,Bronze
67,Customer_67,Male,22,Madinah,12/24/2024,Platinum
68,Customer_68,Male,51,Jazan,3/1/2021,Silver
69,Customer_69,Male,30,Riyadh,5/26/2022,Bronze
70,Customer_70,Female,21,Abha,12/14/2024,Silver
71,Customer_71,Female,41,Khobar,11/1/2023,Platinum
72,Customer_72,Male,19,Makkah,2/2/2023,Platinum
73,Customer_73,Female,29,Khobar,4/16/2024,Gold
74,Customer_74,Female,28,Madinah,3/14/2025,Bronze
75,Customer_75,Female,19,Tabuk,4/12/2021,Silver
76,Customer_76,Male,32,Makkah,10/19/2024,Silver
77,Customer_77,Female,59,Tabuk,11/18/2023,Bronze
78,Customer_78,Male,48,Dammam,8/18/2024,Silver
79,Customer_79,Male,32,Madinah,5/30/2024,Gold
80,Customer_80,Female,45,Tabuk,10/11/2025,Gold
81,Customer_81,Female,34,Makkah,8/14/2023,Gold
82,Customer_82,Female,55,Jeddah,1/16/2021,Gold
83,Customer_83,Female,37,Jeddah,9/14/2023,Bronze
84,Customer_84,Female,35,Abha,10/31/2025,Gold
85,Customer_85,Female,59,Madinah,1/21/2022,Silver
86,Customer_86,Male,21,Jazan,4/8/2023,Gold
87,Customer_87,Male,19,Khobar,8/29/2022,Gold
88,Customer_88,Female,43,Tabuk,2/17/2025,Bronze
89,Customer_89,Male,39,Makkah,11/6/2024,Platinum
90,Customer_90,Female,50,Madinah,9/28/2025,Silver
91,Customer_91,Male,36,Jeddah,8/23/2023,Silver
92,Customer_92,Female,53,Dammam,10/24/2024,Gold
93,Customer_93,Male,32,Abha,4/3/2022,Gold
94,Customer_94,Female,39,Abha,6/18/2022,Gold
95,Customer_95,Female,25,Khobar,4/20/2021,Bronze
96,Customer_96,Female,30,Taif,9/3/2021,Platinum
97,Customer_97,Female,44,Riyadh,11/19/2025,Silver
98,Customer_98,Male,30,Abha,4/19/2023,Platinum
99,Customer_99,Male,38,Dammam,5/15/2025,Bronze
100,Customer_100,Female,39,Dammam,10/4/2022,Bronze
101,Customer_101,Male,46,Madinah,3/5/2022,Silver
102,Customer_102,Male,49,Jeddah,9/23/2021,Platinum
103,Customer_103,Female,43,Tabuk,9/5/2023,Platinum
104,Customer_104,Male,20,Taif,2/13/2022,Gold
105,Customer_105,Male,38,Taif,1/26/2022,Bronze
106,Customer_106,Male,58,Makkah,4/9/2022,Gold
107,Customer_107,Female,26,Jeddah,2/25/2023,Gold
108,Customer_108,Male,22,Riyadh,9/3/2022,Gold
109,Customer_109,Female,51,Jazan,12/10/2023,Gold
110,Customer_110,Female,26,Abha,10/1/2023,Gold
111,Customer_111,Male,28,Tabuk,2/9/2021,Silver
112,Customer_112,Male,26,Makkah,2/12/2025,Bronze
113,Customer_113,Male,25,Abha,12/27/2024,Bronze
114,Customer_114,Female,58,Madinah,4/29/2025,Bronze
115,Customer_115,Male,60,Jeddah,8/31/2024,Bronze
116,Customer_116,Male,25,Tabuk,6/29/2023,Platinum
117,Customer_117,Male,53,Madinah,8/30/2023,Silver
118,Customer_118,Male,58,Riyadh,9/9/2022,Platinum
119,Customer_119,Male,60,Taif,7/7/2022,Silver
120,Customer_120,Female,24,Taif,1/12/2025,Bronze
121,Customer_121,Female,25,Jeddah,10/17/2023,Silver
122,Customer_122,Male,34,Taif,2/18/2022,Gold
123,Customer_123,Female,36,Dammam,3/22/2021,Platinum
124,Customer_124,Male,48,Abha,4/26/2022,Bronze
125,Customer_125,Male,60,Jeddah,8/15/2021,Platinum
126,Customer_126,Male,23,Taif,6/3/2021,Bronze
127,Customer_127,Female,59,Makkah,7/25/2023,Gold
128,Customer_128,Female,47,Riyadh,7/24/2021,Silver
129,Customer_129,Male,36,Abha,6/30/2025,Gold
130,Customer_130,Female,25,Jeddah,10/10/2025,Bronze
131,Customer_131,Male,26,Dammam,11/5/2022,Gold
132,Customer_132,Female,57,Madinah,12/5/2025,Bronze
133,Customer_133,Female,39,Dammam,8/22/2021,Platinum
134,Customer_134,Female,47,Madinah,9/8/2025,Platinum
135,Customer_135,Female,44,Dammam,8/20/2021,Silver
136,Customer_136,Male,28,Jeddah,5/3/2023,Platinum
137,Customer_137,Female,29,Jazan,2/17/2023,Gold
138,Customer_138,Male,26,Khobar,9/27/2023,Bronze
139,Customer_139,Female,46,Riyadh,5/10/2021,Gold
140,Customer_140,Female,18,Taif,4/21/2025,Silver
141,Customer_141,Female,51,Taif,11/10/2024,Bronze
142,Customer_142,Female,60,Makkah,9/14/2023,Gold
143,Customer_143,Female,27,Taif,6/9/2024,Bronze
144,Customer_144,Male,59,Dammam,11/2/2023,Platinum
145,Customer_145,Female,28,Jeddah,3/19/2025,Platinum
146,Customer_146,Female,33,Abha,7/24/2022,Bronze
147,Customer_147,Male,53,Tabuk,4/6/2023,Silver
148,Customer_148,Male,47,Khobar,6/29/2025,Platinum
149,Customer_149,Male,49,Khobar,10/10/2022,Bronze
150,Customer_150,Female,59,Riyadh,7/30/2021,Platinum
151,Customer_151,Female,20,Taif,1/30/2024,Bronze
152,Customer_152,Male,56,Jazan,7/29/2024,Gold
153,Customer_153,Male,59,Khobar,11/30/2022,Gold
154,Customer_154,Male,32,Khobar,11/11/2022,Platinum
155,Customer_155,Female,46,Jeddah,7/19/2021,Silver
156,Customer_156,Male,39,Abha,8/27/2025,Gold
157,Customer_157,Female,24,Riyadh,12/3/2021,Platinum
158,Customer_158,Male,44,Jeddah,6/5/2022,Silver
159,Customer_159,Male,25,Tabuk,3/18/2022,Platinum
160,Customer_160,Male,39,Jeddah,3/31/2025,Platinum
161,Customer_161,Male,58,Jazan,9/10/2021,Platinum
162,Customer_162,Female,60,Jazan,10/30/2023,Silver
163,Customer_163,Female,18,Taif,2/16/2025,Bronze
164,Customer_164,Female,55,Khobar,11/8/2023,Silver
165,Customer_165,Male,26,Jeddah,3/5/2023,Gold
166,Customer_166,Female,44,Jazan,11/19/2024,Silver
167,Customer_167,Female,43,Abha,8/26/2022,Platinum
168,Customer_168,Male,26,Tabuk,5/18/2024,Gold
169,Customer_169,Female,53,Makkah,2/16/2022,Silver
170,Customer_170,Female,40,Dammam,12/25/2024,Silver
171,Customer_171,Female,25,Abha,2/26/2024,Platinum
172,Customer_172,Female,52,Madinah,12/3/2025,Platinum
173,Customer_173,Male,51,Jeddah,2/21/2021,Platinum
174,Customer_174,Male,21,Riyadh,2/14/2022,Gold
175,Customer_175,Male,36,Madinah,10/27/2021,Bronze
176,Customer_176,Female,31,Taif,3/8/2021,Gold
177,Customer_177,Female,24,Jazan,11/13/2025,Silver
178,Customer_178,Female,33,Taif,5/26/2025,Gold
179,Customer_179,Male,42,Tabuk,5/4/2023,Gold
180,Customer_180,Male,18,Madinah,2/20/2022,Platinum
181,Customer_181,Male,58,Abha,3/27/2025,Silver
182,Customer_182,Male,36,Khobar,12/30/2021,Bronze
183,Customer_183,Male,29,Taif,9/2/2021,Platinum
184,Customer_184,Male,45,Madinah,2/14/2024,Gold
185,Customer_185,Male,28,Jazan,9/29/2025,Gold
186,Customer_186,Male,39,Khobar,12/24/2024,Silver
187,Customer_187,Male,27,Abha,5/7/2024,Bronze
188,Customer_188,Female,49,Jazan,2/1/2024,Gold
189,Customer_189,Male,38,Taif,3/27/2022,Silver
190,Customer_190,Male,50,Dammam,5/2/2023,Platinum
191,Customer_191,Male,40,Makkah,3/13/2022,Gold
192,Customer_192,Female,41,Madinah,3/24/2022,Platinum
193,Customer_193,Male,25,Abha,7/2/2023,Silver
194,Customer_194,Male,20,Abha,2/21/2023,Bronze
195,Customer_195,Female,34,Taif,1/22/2025,Gold
196,Customer_196,Male,51,Abha,11/20/2023,Platinum
197,Customer_197,Female,20,Madinah,8/27/2024,Silver
198,Customer_198,Female,50,Jeddah,7/16/2021,Silver
199,Customer_199,Male,58,Jeddah,3/8/2022,Silver
200,Customer_200,Female,24,Makkah,1/7/2024,Platinum
201,Customer_201,Male,27,Riyadh,7/30/2023,Gold
202,Customer_202,Male,23,Jeddah,4/22/2021,Silver
203,Customer_203,Female,53,Jeddah,3/23/2024,Silver
204,Customer_204,Female,44,Tabuk,7/13/2023,Platinum
205,Customer_205,Female,38,Riyadh,3/9/2023,Bronze
206,Customer_206,Male,59,Jazan,5/10/2021,Bronze
207,Customer_207,Male,40,Taif,8/6/2021,Gold
208,Customer_208,Female,56,Jeddah,7/31/2022,Platinum
209,Customer_209,Female,43,Riyadh,8/29/2023,Silver
210,Customer_210,Male,26,Tabuk,6/20/2025,Gold
211,Customer_211,Male,37,Abha,1/23/2021,Silver
212,Customer_212,Male,20,Riyadh,3/18/2024,Platinum
213,Customer_213,Male,37,Makkah,3/13/2025,Gold
214,Customer_214,Male,44,Taif,10/19/2021,Silver
215,Customer_215,Male,32,Jazan,9/6/2025,Gold
216,Customer_216,Male,25,Dammam,10/6/2024,Bronze
217,Customer_217,Female,59,Taif,5/30/2021,Gold
218,Customer_218,Male,34,Jeddah,2/9/2022,Platinum
219,Customer_219,Female,40,Dammam,10/6/2024,Silver
220,Customer_220,Male,36,Jazan,5/23/2021,Silver
221,Customer_221,Female,49,Khobar,11/4/2022,Gold
222,Customer_222,Male,54,Jazan,1/17/2023,Gold
223,Customer_223,Female,28,Riyadh,10/4/2022,Silver
224,Customer_224,Male,59,Tabuk,7/21/2022,Gold
225,Customer_225,Male,39,Khobar,8/6/2023,Platinum
226,Customer_226,Female,37,Khobar,2/4/2024,Bronze
227,Customer_227,Male,59,Jazan,6/17/2021,Gold
228,Customer_228,Male,52,Makkah,6/24/2022,Bronze
229,Customer_229,Male,19,Taif,7/17/2024,Bronze
230,Customer_230,Female,55,Makkah,3/17/2021,Gold
231,Customer_231,Female,59,Dammam,1/20/2023,Platinum
232,Customer_232,Male,55,Madinah,10/2/2021,Platinum
233,Customer_233,Male,43,Abha,10/26/2023,Bronze
234,Customer_234,Male,57,Dammam,3/31/2025,Silver
235,Customer_235,Female,28,Dammam,3/5/2024,Silver
236,Customer_236,Female,40,Riyadh,3/25/2022,Platinum
237,Customer_237,Male,22,Madinah,1/27/2023,Silver
238,Customer_238,Male,60,Makkah,11/27/2023,Gold
239,Customer_239,Female,48,Khobar,4/6/2021,Bronze
240,Customer_240,Female,24,Taif,7/21/2024,Gold
241,Customer_241,Female,55,Taif,3/13/2024,Silver
242,Customer_242,Female,59,Tabuk,1/19/2023,Bronze
243,Customer_243,Female,42,Makkah,11/24/2023,Platinum
244,Customer_244,Female,40,Khobar,6/12/2025,Platinum
245,Customer_245,Male,50,Dammam,6/20/2023,Silver
246,Customer_246,Male,22,Taif,8/10/2024,Gold
247,Customer_247,Male,27,Dammam,11/19/2021,Gold
248,Customer_248,Male,60,Makkah,4/30/2023,Gold
249,Customer_249,Male,48,Khobar,9/9/2023,Silver
250,Customer_250,Male,59,Tabuk,2/15/2021,Silver
251,Customer_251,Male,26,Jazan,4/28/2024,Silver
252,Customer_252,Male,58,Taif,3/22/2021,Silver
253,Customer_253,Male,28,Madinah,1/4/2022,Platinum
254,Customer_254,Male,60,Madinah,6/25/2021,Silver
255,Customer_255,Female,56,Khobar,11/12/2025,Platinum
256,Customer_256,Male,32,Tabuk,5/15/2024,Silver
257,Customer_257,Male,57,Taif,6/26/2022,Silver
258,Customer_258,Female,47,Jazan,4/24/2024,Bronze
259,Customer_259,Male,42,Tabuk,9/28/2021,Bronze
260,Customer_260,Male,30,Taif,10/27/2025,Platinum
261,Customer_261,Male,56,Jeddah,12/30/2021,Platinum
262,Customer_262,Male,52,Taif,3/21/2025,Bronze
263,Customer_263,Male,48,Dammam,5/20/2024,Bronze
264,Customer_264,Female,51,Tabuk,1/29/2023,Bronze
265,Customer_265,Female,32,Khobar,6/6/2025,Platinum
266,Customer_266,Female,55,Jazan,7/20/2021,Platinum
267,Customer_267,Male,34,Khobar,4/18/2025,Silver
268,Customer_268,Male,36,Jazan,12/1/2025,Platinum
269,Customer_269,Female,30,Riyadh,12/23/2024,Bronze
270,Customer_270,Male,51,Riyadh,2/8/2023,Silver
271,Customer_271,Female,44,Abha,8/7/2021,Silver
272,Customer_272,Female,59,Jazan,6/4/2022,Gold
273,Customer_273,Female,54,Abha,6/7/2024,Gold
274,Customer_274,Female,31,Tabuk,2/5/2024,Platinum
275,Customer_275,Male,41,Taif,2/11/2024,Platinum
276,Customer_276,Female,37,Jazan,12/7/2022,Platinum
277,Customer_277,Male,60,Jeddah,3/12/2025,Silver
278,Customer_278,Female,28,Jeddah,3/16/2022,Platinum
279,Customer_279,Female,53,Jazan,11/28/2024,Bronze
280,Customer_280,Male,42,Riyadh,7/6/2025,Bronze
281,Customer_281,Male,48,Jazan,6/11/2023,Bronze
