SaleID,Date,ProductID,CustomerID,EmployeeID,BranchID,Qty,UnitPrice,Discount,PaymentMethod,DeliveryType,Rating
1,10/29/2024,394,4367,266,8,3,724,7,Mada,Express,4.6
2,11/22/2023,318,5092,239,8,5,383,8,Apple Pay,Same Day,2.7
3,11/5/2023,316,6952,133,18,1,785,16,Cash On Delivery,Standard,4.3
4,7/6/2024,322,7396,286,20,1,446,12,Apple Pay,Same Day,4.8
5,3/25/2024,90,7625,250,6,3,322,3,Mada,Same Day,3.6
6,3/29/2023,234,5594,100,16,5,703,28,Cash On Delivery,Express,4.6
7,8/5/2023,207,6195,81,3,4,710,29,Cash On Delivery,Express,3.1
8,10/26/2023,271,329,254,7,1,699,22,Apple Pay,Express,3.9
9,3/1/2024,432,1971,61,13,4,606,13,Apple Pay,Same Day,4.4
10,6/19/2024,339,9457,204,20,5,813,20,Cash On Delivery,Same Day,4.7
11,5/22/2023,202,2952,89,3,5,366,9,Cash On Delivery,Standard,4.9
12,5/20/2024,323,6633,93,5,3,385,20,Cash On Delivery,Same Day,2.6
13,3/29/2024,352,1508,234,4,4,717,20,Visa,Standard,4.2
14,12/8/2023,184,7473,236,20,2,659,17,Visa,Standard,2.9
15,5/29/2024,490,904,162,5,5,812,0,Apple Pay,Same Day,4.4
16,12/16/2023,115,4414,227,8,3,323,4,Visa,Same Day,4.6
17,11/19/2023,419,8486,50,3,3,608,5,Apple Pay,Express,3.9
18,3/31/2024,424,1509,290,11,1,597,25,Mada,Same Day,4.6
19,11/14/2024,223,9925,234,16,4,204,6,Mada,Express,2.7
20,9/7/2023,435,9070,201,10,3,576,6,Apple Pay,Same Day,4.7
21,8/17/2023,83,5911,179,11,1,795,7,Apple Pay,Standard,4.8
22,4/13/2023,383,2630,90,3,1,845,10,Visa,Standard,3.5
23,8/25/2024,168,9918,36,10,5,755,11,Cash On Delivery,Same Day,2.6
24,3/14/2024,49,8731,246,1,3,670,21,Apple Pay,Same Day,3.9
25,3/31/2025,96,3546,22,3,3,346,10,Visa,Same Day,3.5
26,9/22/2024,469,8361,99,13,4,255,16,Apple Pay,Same Day,3.8
27,1/6/2025,121,5070,215,10,3,786,28,Mada,Express,4.2
28,4/4/2024,477,3161,100,5,4,350,18,Apple Pay,Standard,2.6
29,8/17/2024,421,4826,12,9,2,512,4,Apple Pay,Express,2.7
30,9/26/2023,425,3482,90,9,4,645,20,Visa,Express,3.6
31,3/3/2023,340,9435,248,18,2,793,18,Apple Pay,Standard,3.7
32,1/19/2023,448,3532,61,4,2,781,16,Apple Pay,Standard,4
33,2/11/2023,259,1718,99,19,5,589,11,Mada,Standard,4.9
34,11/2/2023,347,8030,189,20,3,252,13,Mada,Same Day,3.9
35,2/5/2023,386,3891,32,13,5,821,1,Visa,Standard,4.9
36,3/6/2024,16,8533,4,11,3,281,0,Mada,Standard,4.4
37,3/2/2024,61,16,141,7,2,692,29,Visa,Same Day,3.2
38,12/19/2023,96,4360,53,4,1,346,18,Visa,Standard,4.1
39,2/15/2025,336,7766,67,19,1,266,19,Mada,Standard,3.4
40,8/29/2023,454,6215,25,20,1,418,9,Mada,Same Day,4.1
41,4/26/2025,163,6040,292,5,1,554,18,Visa,Standard,4.1
42,1/28/2023,403,1222,204,1,5,351,13,Mada,Express,4.4
43,10/1/2024,175,6308,111,14,1,329,9,Apple Pay,Standard,3.2
44,5/19/2024,324,3401,101,9,5,442,4,Mada,Express,4.6
45,7/21/2023,212,5485,18,4,3,800,6,Mada,Same Day,3.1
46,11/12/2023,407,9185,177,14,2,287,17,Mada,Same Day,5
47,10/10/2023,254,9034,23,9,4,413,28,Visa,Same Day,3.4
48,6/16/2023,50,4634,208,19,2,771,1,Visa,Standard,4.7
49,10/17/2024,388,9270,149,4,1,725,6,Visa,Express,3.9
50,10/21/2024,321,9489,1,8,5,464,2,Cash On Delivery,Same Day,3.7
51,6/8/2023,352,1188,14,20,3,717,16,Visa,Standard,3.8
52,9/25/2023,500,3099,194,17,1,373,19,Visa,Express,4
53,5/27/2023,17,5351,264,17,5,714,24,Visa,Same Day,3.8
54,5/4/2024,103,389,279,2,2,465,6,Cash On Delivery,Same Day,3
55,7/19/2024,43,9093,79,2,3,245,13,Visa,Standard,3.4
56,6/16/2024,355,7517,32,15,3,287,30,Mada,Express,3.1
